Principal Component,Explained Variance Ratio
PC1,0.4339389463636602
PC2,0.0453794706657996
PC3,0.03460119534831862
PC4,0.023800527960637523
PC5,0.023198289764409193
PC6,0.021023861597892223
PC7,0.02027782479479832
PC8,0.019091981946709226
PC9,0.017590580182019706
PC10,0.017072064159175504
PC11,0.016185291078480452
PC12,0.015509979548631241
PC13,0.014123667892842173
PC14,0.013371241934393477
PC15,0.013058990903178523
PC16,0.011926881217344235
PC17,0.011783337102160953
PC18,0.01110819642771704
PC19,0.010738539569452211
PC20,0.009754548259454708
PC21,0.009541722806446273
PC22,0.009145057979343466
PC23,0.008722522750034758
PC24,0.008419246462387092
PC25,0.008257726761554823
PC26,0.0077670102052896425
PC27,0.007448662482869113
PC28,0.007243980198734691
PC29,0.006757733925650312
PC30,0.0062729582926400115
PC31,0.006116398740806612
PC32,0.005889849321749608
PC33,0.005494110921268305
PC34,0.005336453141209545
PC35,0.005081562233937917
PC36,0.004892075864139861
PC37,0.004799130369148983
PC38,0.004480465277912766
PC39,0.0043061459751807946
PC40,0.004011116318180305
PC41,0.003992547129206546
PC42,0.003941250181012045
PC43,0.003655683790144044
PC44,0.003478365675915189
PC45,0.0034232952061434073
PC46,0.0033942053028234095
PC47,0.0031613816903747014
PC48,0.003070761643245843
PC49,0.0029707817464507103
PC50,0.002711597941323691
PC51,0.0026785828705473717
PC52,0.002478831244733829
PC53,0.0023915921400029625
PC54,0.002282820911599761
PC55,0.002172364618258492
PC56,0.0021637346478754847
PC57,0.00202528734427226
PC58,0.0019170924538955971
PC59,0.0017969783936030435
PC60,0.0016730691094425662
PC61,0.0015700008508851733
PC62,0.0014927328216527132
PC63,0.0014482015606659374
PC64,0.0013966405162072724
PC65,0.0013614849969955894
PC66,0.0012599232546344427
PC67,0.001218920465907722
PC68,0.0011855108960865742
PC69,0.0011079355156893723
PC70,0.0010810974595234888
PC71,0.0010437238503843958
PC72,0.0010061600049650387
PC73,0.0009488309036307254
PC74,0.0008850615440707468
PC75,0.0008783059057333133
PC76,0.0007964990456171705
PC77,0.0007596236824044817
PC78,0.000746452676292029
PC79,0.0006839845335330382
PC80,0.0006544424032916891
PC81,0.0005949395034011097
PC82,0.0005796924442640194
PC83,0.0005632862691973017
PC84,0.0005356760277634934
PC85,0.0005237279298934881
PC86,0.0004923936830299093
PC87,0.0004410021942998427
PC88,0.0004383089886117319
PC89,0.00041328647989412077
PC90,0.0003829437383696432
PC91,0.0003541357445801593
PC92,0.00031693804832381306
PC93,0.0002909622577434494
PC94,0.0002832308862733359
PC95,0.00026469056249044776
PC96,0.0002377533020708299
PC97,0.00022652602773148305
PC98,0.00021913780870938353
PC99,0.00019732697922229903
PC100,0.00019461296487051946
PC101,0.0001774423694571163
PC102,0.00016788176970588634
PC103,0.00016281696628394886
PC104,0.00015725562315117692
PC105,0.0001421692295538922
PC106,0.0001344854182479953
PC107,0.00012008508564198104
PC108,0.00011109440792659596
PC109,9.842013287301502e-05
PC110,9.400006399719949e-05
PC111,8.509765852918267e-05
PC112,7.957154719582617e-05
PC113,7.247496498902186e-05
PC114,6.418697800547778e-05
PC115,5.2994486562612386e-05
PC116,4.747554265864845e-05
PC117,4.309753221598292e-05
PC118,3.7837275438509e-05
PC119,3.476412550306393e-05
PC120,2.9284141346612355e-05
PC121,2.4129153282588115e-05
PC122,2.2153572733459996e-05
PC123,1.9696179472602455e-05
PC124,1.824819216833467e-05
PC125,1.132946293426708e-05
PC126,1.0120139285494257e-05
PC127,6.2124654973238e-06
PC128,8.557936750977227e-32
